abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
ps180,,,-1,C42H81N1O10P1,[],,"phosphatidylserine (dioctadecanoyl, n-C18:0)",,"phosphatidylserine (dioctadecanoyl, n-C18:0)",,,,,2016-11-22T15:12:37Z,,3233,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3233/?format=pcsv
ps181,,,-1,C42H77N1O10P1,[],,"phosphatidylserine (dioctadec-11-enoyl, n-C18:1)",,"phosphatidylserine (dioctadec-11-enoyl, n-C18:1)",,,,,2016-11-22T15:12:37Z,,3234,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3234/?format=pcsv
psai15,,,-1,C36H69NO10P,[],,"Phosphatidylserine (12-methyl-tetradecanoyl, anteiso-C15)",,"Phosphatidylserine (12-methyl-tetradecanoyl, anteiso-C15)",,,,,2016-11-22T15:12:37Z,,3235,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3235/?format=pcsv
peai15,,,0,C35H70NO8P,[],,"Phosphatidylethanolamine (12-methyl-tetradecanoyl, anteiso-C15)",,"Phosphatidylethanolamine (12-methyl-tetradecanoyl, anteiso-C15)",,,,,2016-11-22T15:12:36Z,,3236,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3236/?format=pcsv
psai17,,,-1,C40H77NO10P,[],,"Phosphatidylserine (14-methyl-hexadecanoyl, anteiso-C17)",,"Phosphatidylserine (14-methyl-hexadecanoyl, anteiso-C17)",,,,,2016-11-22T15:12:37Z,,3237,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3237/?format=pcsv
peai17,,,0,C39H78NO8P,[],,"Phosphatidylethanolamine (14-methyl-hexadecanoyl, anteiso-C17)",,"Phosphatidylethanolamine (14-methyl-hexadecanoyl, anteiso-C17)",,,,,2016-11-22T15:12:36Z,,3238,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3238/?format=pcsv
psi14,,,-1,C34H65NO10P,[],,"Phosphatidylserine (12-methyl-tridecanoyl, iso-C14)",,"Phosphatidylserine (12-methyl-tridecanoyl, iso-C14)",,,,,2016-11-22T15:12:37Z,,3239,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3239/?format=pcsv
pei14,,,0,C33H66NO8P,[],,"Phosphatidylethanolamine (12-methyl-tridecanoyl, iso-C14)",,"Phosphatidylethanolamine (12-methyl-tridecanoyl, iso-C14)",,,,,2016-11-22T15:12:36Z,,3240,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3240/?format=pcsv
psi15,,,-1,C36H69NO10P,[],,"Phosphatidylserine (13-methyl-tetradecanoyl, iso-C15)",,"Phosphatidylserine (13-methyl-tetradecanoyl, iso-C15)",,,,,2016-11-22T15:12:43Z,,3241,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3241/?format=pcsv
pei15,,,0,C35H70NO8P,[],,"Phosphatidylethanolamine (13-methyl-tetradecanoyl, iso-C15)",,"Phosphatidylethanolamine (13-methyl-tetradecanoyl, iso-C15)",,,,,2016-11-22T15:12:43Z,,3242,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3242/?format=pcsv
psi16,,,-1,C38H73NO10P,[],,"Phosphatidylserine (14-methyl-pentadecanoyl, iso-C16)",,"Phosphatidylserine (14-methyl-pentadecanoyl, iso-C16)",,,,,2016-11-22T15:12:37Z,,3243,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3243/?format=pcsv
pei16,,,0,C37H74NO8P,[],,"Phosphatidylethanolamine (14-methyl-pentadecanoyl, iso-C16)",,"Phosphatidylethanolamine (14-methyl-pentadecanoyl, iso-C16)",,,,,2016-11-22T15:12:36Z,,3244,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3244/?format=pcsv
psi17,,,-1,C40H77NO10P,[],,"Phosphatidylserine (15-methyl-hexadecanoyl, iso-C17)",,"Phosphatidylserine (15-methyl-hexadecanoyl, iso-C17)",,,,,2016-11-22T15:12:43Z,,3245,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3245/?format=pcsv
pei17,,,0,C39H78NO8P,[],,"Phosphatidylethanolamine (15-methyl-hexadecanoyl, iso-C17)",,"Phosphatidylethanolamine (15-methyl-hexadecanoyl, iso-C17)",,,,,2016-11-22T15:12:43Z,,3246,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3246/?format=pcsv
pqq,,,-3,C14H3N2O8,[],,Pyrroloquinoline-quinone,,Pyrroloquinoline-quinone,,,,,2016-11-22T15:12:36Z,,3247,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3247/?format=pcsv
quint,,,-1,C7H11O6,[],,Quinate,,Quinate,,,,,2016-11-22T15:12:37Z,,3248,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3248/?format=pcsv
pqqh2,,,-3,C14H5N2O8,[],,Reduced pyrroloquinoline-quinone,,Reduced pyrroloquinoline-quinone,,,,,2016-11-22T15:12:36Z,,3249,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3249/?format=pcsv
hgbam,,,-4,C45H58N6O12,27914,,"Hydrogenobyrinate a,c diamide",,"Hydrogenobyrinate a,c diamide",,,,,2016-11-22T15:12:34Z,,3250,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3250/?format=pcsv
raffin,,,0,C18H32O16,[],,Raffinose,,Raffinose,,,,,2016-11-22T15:12:43Z,,3251,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3251/?format=pcsv
ru5p_L,,,-2,C5H9O8P,[],,L-Ribulose 5-phosphate,,L-Ribulose 5-phosphate,,,,,2016-11-22T15:12:43Z,,3252,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3252/?format=pcsv
4r5au,,,0,C9H16N4O6,[],,4-(1-D-Ribitylamino)-5-aminouracil,,4-(1-D-Ribitylamino)-5-aminouracil,,,,,2016-11-22T15:12:31Z,,3253,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3253/?format=pcsv
dmlz,,,0,C13H18N4O6,[],,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",,,,,2016-11-22T15:12:33Z,,3254,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3254/?format=pcsv
rml,,,0,C6H12O5,[],,L-Rhamnulose,,L-Rhamnulose,,,,,2016-11-22T15:12:43Z,,3255,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3255/?format=pcsv
rml1p,,,-2,C6H11O8P,[],,L-Rhamnulose 1-phosphate,,L-Rhamnulose 1-phosphate,,,,,2016-11-22T15:12:43Z,,3256,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3256/?format=pcsv
xu1p_L,,,-2,C5H9O8P,[],,L-Xylulose 1-phosphate,,L-Xylulose 1-phosphate,,,,,2016-11-22T15:12:44Z,,3257,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3257/?format=pcsv
sucorn,,,-1,C9H15N2O5,[],,N2-Succinyl-L-ornithine,,N2-Succinyl-L-ornithine,,,,,2016-11-22T15:12:43Z,,3258,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3258/?format=pcsv
sbt6p,,,-2,C6H13O9P,[],,D-Sorbitol 6-phosphate,,D-Sorbitol 6-phosphate,,,,,2016-11-22T15:12:43Z,,3259,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3259/?format=pcsv
sl26da,,,-2,C11H16N2O7,[],,"N-Succinyl-LL-2,6-diaminoheptanedioate",,"N-Succinyl-LL-2,6-diaminoheptanedioate",,,,,2016-11-22T15:12:37Z,,3260,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3260/?format=pcsv
sl2a6o,,,-3,C11H12NO8,[],,N-Succinyl-2-L-amino-6-oxoheptanedioate,,N-Succinyl-2-L-amino-6-oxoheptanedioate,,,,,2016-11-22T15:12:37Z,,3261,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3261/?format=pcsv
2s5epchc,,,-3,C14H13O9,[],,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,,,,,2016-11-22T15:12:30Z,,3262,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3262/?format=pcsv
sucglu,,,-3,C9H10NO7,[],,N2-Succinyl-L-glutamate,,N2-Succinyl-L-glutamate,,,,,2016-11-22T15:12:37Z,,3263,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3263/?format=pcsv
sucgsa,,,-2,C9H11NO6,[],,N2-Succinyl-L-glutamate 5-semialdehyde,,N2-Succinyl-L-glutamate 5-semialdehyde,,,,,2016-11-22T15:12:43Z,,3264,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3264/?format=pcsv
scl,,,-7,C42H39N4O16,[],,sirohydrochlorin,,sirohydrochlorin,,,,,2016-11-22T15:12:37Z,,3265,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3265/?format=pcsv
sheme,,,-8,C42H36FeN4O16,[],,Siroheme,,Siroheme,,,,,2016-11-22T15:12:37Z,,3266,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3266/?format=pcsv
skm,,,-1,C7H9O5,[],,Shikimate,,Shikimate,,,,,2016-11-22T15:12:37Z,,3267,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3267/?format=pcsv
srbL1p,,,-1,C6H12O9P,[],,L-Sorbose 1-phosphate,,L-Sorbose 1-phosphate,,,,,2016-11-22T15:12:37Z,,3268,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3268/?format=pcsv
stys,,,0,C24H42O21,[],,Stachyose,,Stachyose,,,,,2016-11-22T15:12:43Z,,3269,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3269/?format=pcsv
sucbz,,,-2,C11H8O5,[],,o-Succinylbenzoate,,o-Succinylbenzoate,,,,,2016-11-22T15:12:37Z,,3270,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3270/?format=pcsv
tartr_L,,,-2,C4H4O6,[],,L-tartrate,,L-tartrate,,,,,2016-11-22T15:12:37Z,,3271,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3271/?format=pcsv
oxglyc,,,-2,C4H2O6,[],,Oxaloglycolate,,Oxaloglycolate,,,,,2016-11-22T15:12:35Z,,3272,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3272/?format=pcsv
tartr_M,,,-2,C4H4O6,[],,meso-Tartrate,,meso-Tartrate,,,,,2016-11-22T15:12:43Z,,3273,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3273/?format=pcsv
dtdp4addg,,,-1,C16H26N3O14P2,[],,"dTDP-4-amino-4,6-dideoxy-D-galactose",,"dTDP-4-amino-4,6-dideoxy-D-galactose",,,,,2016-11-22T15:12:33Z,,3274,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3274/?format=pcsv
dtdp4aaddg,,,-2,C18H27N3O15P2,[],,"dTDP-4-acetamido-4,6-dideoxy-D-galactose",,"dTDP-4-acetamido-4,6-dideoxy-D-galactose",,,,,2016-11-22T15:12:33Z,,3275,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3275/?format=pcsv
myrstca1,,,-24,C115H224O135P24,[],,"Myristoyllipoteichoic acid (n=24), linked, unsubstituted",,"Myristoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:42Z,,3276,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3276/?format=pcsv
myrstcaacgam,,,-24,C307H536N24O255P24,[],,"Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:42Z,,3277,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3277/?format=pcsv
palmtca1,,,-24,C119H232O135P24,[],,"Palmitoyllipoteichoic acid (n=24), linked, unsubstituted",,"Palmitoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:43Z,,3278,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3278/?format=pcsv
palmtcaacgam,,,-24,C311H544N24O255P24,[],,"Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:43Z,,3279,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3279/?format=pcsv
sttca1,,,-24,C123H240O135P24,[],,"Stearoyllipoteichoic acid (n=24), linked, unsubstituted",,"Stearoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:37Z,,3280,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3280/?format=pcsv
sttcaacgam,,,-24,C315H552N24O255P24,[],,"Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:37Z,,3281,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3281/?format=pcsv
ai15tca1,,,-24,C117H228O135P24,[],,"Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,"Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:32Z,,3282,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3282/?format=pcsv
ai15tcaacgam,,,-24,C309H540N24O255P24,[],,"Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:32Z,,3283,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3283/?format=pcsv
ai17tca1,,,-24,C121H236O135P24,[],,"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:32Z,,3284,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3284/?format=pcsv
ai17tcaacgam,,,-24,C313H548N24O255P24,[],,"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:32Z,,3285,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3285/?format=pcsv
i14tca1,,,-24,C115H224O135P24,[],,"Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted",,"Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:34Z,,3286,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3286/?format=pcsv
i14tcaacgam,,,-24,C307H536N24O255P24,[],,"Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:34Z,,3287,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3287/?format=pcsv
i15tca1,,,-24,C117H228O135P24,[],,"Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,"Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:42Z,,3288,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3288/?format=pcsv
i15tcaacgam,,,-24,C309H540N24O255P24,[],,"Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:42Z,,3289,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3289/?format=pcsv
i16tca1,,,-24,C119H232O135P24,[],,"Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,"Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:34Z,,3290,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3290/?format=pcsv
i16tcaacgam,,,-24,C311H544N24O255P24,[],,"Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:34Z,,3291,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3291/?format=pcsv
i17tca1,,,-24,C121H236O135P24,[],,"Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,"Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted",,,,,2016-11-22T15:12:42Z,,3292,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3292/?format=pcsv
i17tcaacgam,,,-24,C313H548N24O255P24,[],,"Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,"Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",,,,,2016-11-22T15:12:42Z,,3293,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3293/?format=pcsv
4hba,,,0,C7H8O2,[],,4-Hydroxy-benzyl alcohol,,4-Hydroxy-benzyl alcohol,,,,,2016-11-22T15:12:39Z,,3294,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3294/?format=pcsv
tmao,,,0,C3H9NO,[],,Trimethylamine N-oxide,,Trimethylamine N-oxide,,,,,2016-11-22T15:12:37Z,,3295,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3295/?format=pcsv
tma,,,1,C3H10N,[],,trimethylamine,,trimethylamine,,,,,2016-11-22T15:12:37Z,,3296,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3296/?format=pcsv
2mahmp,,,-3,C6H8N3O7P2,[],,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,,,,,2016-11-22T15:12:30Z,,3297,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3297/?format=pcsv
tre6p,,,-2,C12H21O14P,[],,"alpha,alpha-Trehalose 6-phosphate",,"alpha,alpha-Trehalose 6-phosphate",,,,,2016-11-22T15:12:44Z,,3298,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3298/?format=pcsv
indole,,,0,C8H7N,,,Indole,,Indole,,,,,2016-11-22T15:12:27Z,,3299,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3299/?format=pcsv
u3hga,,,-1,C29H50N3O18P2,[],,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,,,,,2016-11-22T15:12:37Z,,3300,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3300/?format=pcsv
uamag,,,-4,C28H39N5O23P2,[],,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,,,,,2016-11-22T15:12:38Z,,3301,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3301/?format=pcsv
ugmd,,,-4,C35H51N7O26P2,[],,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",,,,,2016-11-22T15:12:38Z,,3302,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3302/?format=pcsv
uacmam,,,-2,C17H25N3O17P2,[],,UDP-N-acetyl-D-mannosamine,,UDP-N-acetyl-D-mannosamine,,,,,2016-11-22T15:12:44Z,,3303,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3303/?format=pcsv
u3aga,,,-2,C31H51N3O19P2,[],,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,,,,,2016-11-22T15:12:37Z,,3304,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3304/?format=pcsv
uaccg,,,-3,C20H26N3O19P2,[],,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine,,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine,,,,,2016-11-22T15:12:37Z,,3305,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3305/?format=pcsv
uama,,,-3,C23H33N4O20P2,[],,UDP-N-acetylmuramoyl-L-alanine,,UDP-N-acetylmuramoyl-L-alanine,,,,,2016-11-22T15:12:38Z,,3306,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3306/?format=pcsv
uamr,,,-3,C20H28N3O19P2,[],,UDP-N-acetylmuramate,,UDP-N-acetylmuramate,,,,,2016-11-22T15:12:38Z,,3307,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3307/?format=pcsv
psd5p,,,-2,C9H11N2O9P,[],,Pseudouridine 5-phosphate,,Pseudouridine 5-phosphate,,,,,2016-11-22T15:12:43Z,,3308,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3308/?format=pcsv
dnarep,,,0,X,,,DNA replication,,DNA replication,,,,,2016-11-22T15:12:41Z,,3309,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3309/?format=pcsv
proteinsynth,,,0,X,,,Protein biosynthesis,,Protein biosynthesis,,,,,2016-11-22T15:12:43Z,,3310,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3310/?format=pcsv
rnatrans,,,0,X,,,RNA transcription,,RNA transcription,,,,,2016-11-22T15:12:43Z,,3311,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3311/?format=pcsv
prodthl,,,0,X,,,Protein dithiol,,Protein dithiol,,,,,2016-11-22T15:12:43Z,,3312,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3312/?format=pcsv
prodslfd,,,0,X,,,Protein disulfide,,Protein disulfide,,,,,2016-11-22T15:12:43Z,,3313,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3313/?format=pcsv
peptmet_L,,,0,X,,,Peptide-L-methionine,,Peptide-L-methionine,,,,,2016-11-22T15:12:43Z,,3314,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3314/?format=pcsv
peptmetox_L,,,0,X,,,Peptide-L-methionine (R)-S-oxide,,Peptide-L-methionine (R)-S-oxide,,,,,2016-11-22T15:12:43Z,,3315,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3315/?format=pcsv
pmACPm,,,-1,C19H33N2O10PRS,[],,Pimeloyl-ACP methyl ester,,Pimeloyl-ACP methyl ester,,,,,2016-11-22T15:12:36Z,,3316,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3316/?format=pcsv
pmACP,,,-2,C18H30N2O10PRS,[],,Pimeloyl-ACP,,Pimeloyl-ACP,,,,,2016-11-22T15:12:36Z,,3317,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3317/?format=pcsv
malcoam,,,-4,C25H36N7O19P3S,[],,Malonyl-CoA methyl ester,,Malonyl-CoA methyl ester,,,,,2016-11-22T15:12:35Z,,3318,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3318/?format=pcsv
3ogACPm,,,-1,C17H27N2O11PRS,[],,3-ketoglutaryl-ACP methyl ester,,3-ketoglutaryl-ACP methyl ester,,,,,2016-11-22T15:12:30Z,,3319,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3319/?format=pcsv
3hgACPm,,,-1,C17H29N2O11PRS,[],,3-hydroxyglutaryl-ACP methyl ester,,3-hydroxyglutaryl-ACP methyl ester,,,,,2016-11-22T15:12:30Z,,3320,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3320/?format=pcsv
egACPm,,,-1,C17H27N2O10PRS,[],,Enoylglutaryl-ACP methyl ester,,Enoylglutaryl-ACP methyl ester,,,,,2016-11-22T15:12:33Z,,3321,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3321/?format=pcsv
gACPm,,,-1,C17H29N2O10PRS,[],,Glutaryl-ACP methyl ester,,Glutaryl-ACP methyl ester,,,,,2016-11-22T15:12:34Z,,3322,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3322/?format=pcsv
3opACPm,,,-1,C19H31N2O11PRS,[],,3-ketopimeloyl-ACP methyl ester,,3-ketopimeloyl-ACP methyl ester,,,,,2016-11-22T15:12:30Z,,3323,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3323/?format=pcsv
3hpACPm,,,-1,C19H33N2O11PRS,[],,3-hydroxypimeloyl-ACP methyl ester,,3-hydroxypimeloyl-ACP methyl ester,,,,,2016-11-22T15:12:30Z,,3324,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3324/?format=pcsv
epACPm,,,-1,C19H31N2O10PRS,[],,Enoylpimeloyl-ACP methyl ester,,Enoylpimeloyl-ACP methyl ester,,,,,2016-11-22T15:12:33Z,,3325,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3325/?format=pcsv
dhpmp,,,-2,C9H12N5O7P,[],,Dihydroneopterin monophosphate,,Dihydroneopterin monophosphate,,,,,2016-11-22T15:12:33Z,,3326,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3326/?format=pcsv
6hmhpt,,,0,C7H9N5O2,[],,6-hydroxymethyl dihydropterin,,6-hydroxymethyl dihydropterin,,,,,2016-11-22T15:12:40Z,,3327,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3327/?format=pcsv
6hmhptpp,,,-3,C7H8N5O8P2,[],,6-hydroxymethyl-dihydropterin pyrophosphate,,6-hydroxymethyl-dihydropterin pyrophosphate,,,,,2016-11-22T15:12:40Z,,3328,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3328/?format=pcsv
25drapp,,,-2,C9H14N5O8P,[],,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5-phosphate",,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5-phosphate",,,,,2016-11-22T15:12:38Z,,3329,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3329/?format=pcsv
4ampm,,,-2,C6H8N3O4P,[],,4-Amino-2-methyl-5-phosphomethylpyrimidine,,4-Amino-2-methyl-5-phosphomethylpyrimidine,,,,,2016-11-22T15:12:31Z,,3330,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3330/?format=pcsv
4ahmmp,,,0,C6H9N3O,[],,4-Amino-5-hydroxymethyl-2-methylpyrimidine,,4-Amino-5-hydroxymethyl-2-methylpyrimidine,,,,,2016-11-22T15:12:31Z,,3331,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3331/?format=pcsv
t3c5ddeceACP,,,-1,C23H39N2O8PRS,[],,trans-3-cis-5-dodecenoyl-[acyl-carrier protein],,trans-3-cis-5-dodecenoyl-[acyl-carrier protein],,,,,2016-11-22T15:12:37Z,,3332,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3332/?format=pcsv
cddec5eACP,,,-1,C23H41N2O8PRS,[],,cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1),,cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1),,,,,2016-11-22T15:12:41Z,,3333,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3333/?format=pcsv
t3c7mrseACP,,,-1,C25H43N2O8PRS,[],,trans-3-cis-7-myristoleoyl-[acyl-carrier protein],,trans-3-cis-7-myristoleoyl-[acyl-carrier protein],,,,,2016-11-22T15:12:37Z,,3334,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3334/?format=pcsv
t3c9palmeACP,,,-1,C27H47N2O8PRS,[],,trans-3-cis-9-palmitoleoyl-[acyl-carrier protein],,trans-3-cis-9-palmitoleoyl-[acyl-carrier protein],,,,,2016-11-22T15:12:37Z,,3335,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3335/?format=pcsv
